STUDENTID,STUDY_HRS,READ_FREQ,READ_FREQ_SCI,ATTEND_DEPT,IMPACT,ATTEND,PREP_STUDY,PREP_EXAM,NOTES,LISTENS,LIKES_DISCUSS,CLASSROOM,CUML_GPA,EXP_GPA,COURSE ID,GRADE
STUDENT1,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1,1
STUDENT2,2,2,2,1,1,1,1,1,3,2,3,2,2,3,1,1
STUDENT3,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
STUDENT4,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,1
STUDENT5,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1
STUDENT6,1,1,2,1,1,1,1,1,1,2,1,,4,4,1,2
STUDENT7,2,2,2,2,1,2,1,1,3,3,3,3,4,4,1,5
STUDENT8,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1,2
STUDENT9,1,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5
STUDENT10,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,0
STUDENT11,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2
STUDENT12,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1,0
STUDENT13,3,2,2,1,1,1,1,1,2,2,2,3,4,2,1,0
STUDENT14,1,2,1,1,1,2,1,1,3,2,3,,4,2,1,1
STUDENT15,2,2,2,1,1,1,1,1,2,,2,1,4,4,1,2
STUDENT16,2,2,2,2,3,,1,1,3,2,2,3,2,2,1,2
STUDENT17,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1,1
STUDENT18,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2
STUDENT19,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1,2
STUDENT20,4,2,2,1,2,,1,1,3,2,2,3,2,3,1,3
STUDENT21,4,2,,,1,1,1,2,3,1,2,3,4,4,1,1
STUDENT22,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1,1
STUDENT23,3,3,3,,1,1,1,2,3,1,2,3,3,3,1,3
STUDENT24,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1,1
STUDENT25,1,2,2,1,1,1,1,1,2,1,3,2,4,4,1,2
STUDENT26,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,3
STUDENT27,2,,2,1,1,1,1,1,3,3,3,2,2,1,1,1
STUDENT28,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1,1
STUDENT29,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,3
STUDENT30,2,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5
STUDENT31,2,2,2,1,1,1,2,1,2,3,3,3,5,4,1,5
STUDENT32,2,2,3,1,1,1,1,1,3,3,2,3,4,3,1,3
STUDENT33,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1,1
STUDENT34,2,1,2,1,1,1,1,1,1,3,2,2,2,3,1,2
STUDENT35,2,1,1,1,1,2,1,1,2,2,3,1,4,1,1,2
STUDENT36,2,2,2,1,1,2,1,1,2,,3,1,1,1,1,1
STUDENT37,1,1,3,1,1,2,2,1,2,1,2,1,4,3,1,2
STUDENT38,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,1
STUDENT39,3,2,2,1,1,1,2,1,2,2,2,2,4,3,1,2
STUDENT40,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1,1
STUDENT41,1,2,2,1,1,1,1,1,3,1,2,1,2,3,1,1
STUDENT42,3,2,2,1,1,2,1,1,3,2,2,3,4,3,1,1
STUDENT43,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1,1
STUDENT44,2,2,2,1,1,2,1,1,3,1,3,3,3,2,1,4
STUDENT45,2,2,2,1,1,1,2,1,3,2,2,1,4,3,1,1
STUDENT46,3,2,2,1,1,1,1,1,2,2,2,1,4,3,1,3
STUDENT47,2,2,2,1,1,1,1,1,2,2,3,1,4,2,1,5
STUDENT48,2,2,2,1,1,2,1,1,2,1,3,2,5,3,1,3
STUDENT49,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1,1
STUDENT50,2,2,2,1,1,1,2,1,2,2,2,1,3,2,1,2
STUDENT51,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1,1
STUDENT52,1,2,2,1,1,2,1,1,2,3,3,1,3,3,1,4
STUDENT53,3,1,1,1,1,1,1,2,2,2,2,1,4,2,1,1
STUDENT54,1,2,2,1,1,2,1,1,2,2,2,2,3,2,1,5
STUDENT55,2,1,1,1,1,1,1,2,3,1,3,1,5,3,1,3
STUDENT56,1,2,2,1,1,1,3,3,1,3,3,3,5,4,1,3
STUDENT57,4,2,3,1,1,1,1,2,3,2,3,3,5,4,1,5
STUDENT58,2,3,2,1,1,1,1,1,3,2,3,1,5,4,1,4
STUDENT59,3,2,2,1,1,1,1,1,3,2,2,2,5,4,1,3
STUDENT60,3,2,2,1,1,1,1,1,3,3,2,2,4,3,1,5
STUDENT61,1,2,2,1,1,1,1,1,1,3,3,1,2,1,1,2
STUDENT62,3,1,2,1,3,2,1,1,3,2,2,2,4,4,1,5
STUDENT63,3,2,2,1,1,1,1,1,2,3,3,2,5,4,1,3
STUDENT64,1,1,2,1,1,1,3,1,2,2,2,1,3,3,1,5
STUDENT65,1,2,2,1,3,1,2,1,3,2,3,1,4,3,1,3
STUDENT66,1,1,2,1,3,2,2,1,2,1,2,1,2,2,1,2
STUDENT67,2,2,2,1,1,1,1,1,3,2,2,3,5,4,2,5
STUDENT68,2,2,2,1,1,2,1,1,2,2,1,2,2,3,2,1
STUDENT69,1,2,2,1,1,2,1,1,2,2,3,2,4,3,3,5
STUDENT70,1,1,2,1,1,1,2,1,3,2,3,1,3,2,3,5
STUDENT71,2,2,2,1,1,1,1,1,2,2,3,1,5,4,3,7
STUDENT72,2,2,1,1,1,1,1,1,2,3,3,3,2,2,3,6
STUDENT73,2,3,3,1,1,1,1,1,2,2,3,2,3,3,3,6
STUDENT74,3,1,1,2,1,1,1,2,3,2,3,1,5,3,3,6
STUDENT75,2,2,2,2,1,1,2,1,3,2,3,2,3,3,3,7
STUDENT76,3,3,1,1,1,1,1,1,2,2,2,2,4,1,3,7
STUDENT77,2,3,2,1,1,1,3,2,2,1,2,3,2,2,4,4
STUDENT78,2,2,2,2,1,2,3,1,2,2,2,2,1,1,4,7
STUDENT79,2,3,3,1,1,2,1,1,3,3,2,2,2,2,4,4
STUDENT80,1,2,2,1,3,1,1,1,3,3,3,2,4,4,4,3
STUDENT82,2,2,2,1,1,1,1,1,3,3,2,3,5,4,5,3
STUDENT83,2,2,3,1,1,1,1,1,3,3,2,3,4,3,5,7
STUDENT84,1,2,2,1,1,1,3,1,3,2,3,3,1,2,5,7
STUDENT85,1,2,2,1,1,1,3,3,3,3,3,3,5,4,5,7
STUDENT86,1,1,1,1,1,1,1,1,3,2,3,3,4,3,5,4
STUDENT87,2,2,2,1,1,1,1,1,3,2,3,2,5,4,5,5
STUDENT88,2,2,2,1,1,1,2,1,2,2,2,2,1,1,6,6
STUDENT89,2,2,2,1,1,1,1,2,3,1,2,3,5,3,6,6
STUDENT90,2,2,2,1,1,2,1,1,3,1,3,3,3,2,6,6
STUDENT91,2,2,2,1,1,1,1,1,2,3,2,3,4,2,6,6
STUDENT92,2,2,2,1,1,1,1,1,2,3,3,2,5,4,6,6
STUDENT93,3,2,2,1,1,1,1,1,3,2,3,3,2,2,6,7
STUDENT94,5,2,1,1,1,1,1,1,3,3,3,2,2,2,6,4
STUDENT95,2,2,3,1,1,1,1,1,3,2,2,3,5,4,6,6
STUDENT96,2,2,3,1,1,1,1,1,3,2,2,1,4,3,7,5
STUDENT97,2,3,2,1,1,1,1,1,3,2,3,2,2,3,7,7
STUDENT98,2,2,2,1,1,1,1,1,3,2,2,1,3,3,7,6
STUDENT99,2,3,2,1,1,1,1,1,3,1,2,1,4,4,7,7
STUDENT100,3,2,2,1,1,1,1,1,3,2,3,2,2,2,7,7
STUDENT101,2,2,2,1,1,1,1,1,2,2,2,1,3,3,7,6
STUDENT102,2,2,2,1,1,1,1,1,3,3,2,1,2,3,7,7
STUDENT103,2,2,2,2,1,1,1,1,3,1,2,1,3,4,7,7
STUDENT104,2,3,2,1,1,1,1,1,2,2,3,2,4,4,7,7
STUDENT105,2,2,2,1,1,1,1,1,2,3,2,2,1,1,7,3
STUDENT106,2,3,2,1,1,2,1,2,2,1,3,1,3,3,7,7
STUDENT107,3,2,2,1,1,1,3,2,2,2,2,1,4,4,7,7
STUDENT108,2,2,2,1,1,1,2,1,2,3,2,1,4,2,7,6
STUDENT109,3,3,2,1,1,2,1,1,2,3,1,2,3,3,7,6
STUDENT110,3,2,2,1,1,1,2,2,3,2,3,1,4,4,7,7
STUDENT111,2,2,2,1,1,2,1,1,2,2,2,1,2,3,8,2
STUDENT112,1,2,2,2,2,1,1,1,3,1,3,3,4,3,8,2
STUDENT113,1,1,1,2,3,1,2,1,3,3,3,1,4,2,8,2
STUDENT114,2,2,3,2,3,2,2,1,2,2,1,1,1,2,8,1
STUDENT115,2,2,2,2,2,1,1,1,2,2,1,2,1,1,8,2
STUDENT116,3,3,2,2,3,1,2,2,3,2,3,2,2,2,8,1
STUDENT117,3,3,3,2,1,1,1,1,3,3,3,1,2,3,8,1
STUDENT118,2,2,3,2,1,2,1,1,2,3,2,1,2,3,8,1
STUDENT119,1,2,2,1,1,1,3,1,3,3,2,2,3,3,8,1
STUDENT120,5,2,2,1,1,1,1,2,2,2,3,1,3,3,8,2
STUDENT121,1,1,1,1,1,2,2,1,3,3,3,2,2,2,8,1
STUDENT122,5,3,3,1,3,1,2,1,1,1,1,1,1,1,8,0
STUDENT123,2,1,2,1,2,1,2,1,3,2,2,1,4,3,8,2
STUDENT124,2,2,3,2,1,1,1,1,3,3,2,1,1,1,8,1
STUDENT125,4,2,2,2,1,1,2,2,3,,2,1,3,3,9,3
STUDENT126,3,2,3,2,1,1,1,2,3,2,3,1,1,3,9,2
STUDENT127,4,2,,1,1,1,2,1,3,3,3,1,2,2,9,3
STUDENT128,2,1,1,2,1,1,,1,3,2,2,1,2,2,9,1
STUDENT129,2,1,1,2,1,1,1,1,3,2,2,1,2,2,9,0
STUDENT130,4,2,3,2,1,1,2,2,3,2,3,2,2,3,9,3
STUDENT131,4,2,2,2,1,,1,2,3,1,3,2,2,3,9,1
STUDENT132,4,1,3,2,1,1,1,2,3,2,3,1,5,3,9,4
STUDENT133,2,2,3,2,1,1,2,1,3,2,3,1,5,4,9,3
STUDENT134,3,1,2,2,1,1,1,1,3,3,3,2,5,3,9,3
STUDENT135,2,2,2,2,1,1,1,1,2,1,2,1,2,3,9,1
STUDENT136,2,3,2,1,3,1,1,1,3,3,2,1,3,2,9,2
STUDENT137,2,2,2,2,1,1,3,1,3,2,2,1,2,2,9,0
STUDENT138,2,2,2,1,1,1,1,1,3,1,3,1,2,4,9,2
STUDENT139,2,2,3,2,3,1,2,1,3,2,3,1,1,3,9,0
STUDENT140,1,1,2,2,1,2,2,1,2,3,,1,1,2,9,0
STUDENT141,3,3,2,1,1,1,1,1,2,1,2,1,3,3,9,5
STUDENT142,3,2,2,,1,2,1,1,3,2,2,1,5,3,9,5
STUDENT143,2,2,2,1,1,1,1,1,3,3,2,1,4,3,9,1
STUDENT144,2,2,1,1,1,1,2,1,2,1,2,,5,3,9,4
STUDENT145,3,1,1,1,1,1,2,1,3,2,3,1,5,4,9,3
