id,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
668,Wifi,4G,1月3日,No,Mobile,Moderate
669,Wifi,4G,0,No,Computer,Low
670,Mobile Data,3G,1月3日,No,Mobile,Moderate
671,Wifi,4G,1月3日,No,Mobile,Low
672,Wifi,4G,1月3日,No,Mobile,Low
673,Wifi,4G,1月3日,No,Mobile,Low
674,Wifi,4G,1月3日,No,Computer,Moderate
675,Wifi,4G,1月3日,Yes,Mobile,Low
676,Mobile Data,4G,0,No,Mobile,Moderate
677,Mobile Data,3G,1月3日,Yes,Computer,Moderate
678,Mobile Data,4G,1月3日,No,Mobile,Low
679,Mobile Data,4G,1月3日,No,Mobile,Moderate
680,Mobile Data,4G,1月3日,No,Mobile,Moderate
681,Wifi,4G,3月6日,No,Computer,Low
682,Mobile Data,3G,1月3日,No,Mobile,High
683,Wifi,4G,1月3日,No,Mobile,Moderate
684,Wifi,4G,1月3日,Yes,Mobile,Moderate
685,Mobile Data,3G,0,No,Mobile,Low
686,Wifi,4G,1月3日,No,Mobile,Low
687,Wifi,4G,1月3日,No,Mobile,Moderate
688,Wifi,3G,3月6日,No,Mobile,Low
689,Wifi,4G,1月3日,No,Mobile,Moderate
690,Wifi,4G,1月3日,Yes,Computer,High
691,Wifi,4G,3月6日,No,Computer,Moderate
692,Mobile Data,3G,1月3日,No,Mobile,Moderate
693,Wifi,4G,3月6日,Yes,Computer,Moderate
694,Wifi,4G,1月3日,No,Mobile,Moderate
695,Mobile Data,3G,3月6日,Yes,Mobile,Low
696,Mobile Data,4G,3月6日,No,Mobile,Moderate
697,Mobile Data,3G,0,No,Mobile,Low
698,Wifi,3G,3月6日,Yes,Computer,Low
699,Mobile Data,4G,1月3日,No,Mobile,Moderate
700,Wifi,4G,1月3日,No,Mobile,Low
701,Mobile Data,4G,1月3日,No,Mobile,Moderate
702,Mobile Data,4G,1月3日,No,Mobile,Low
703,Mobile Data,3G,1月3日,No,Mobile,Low
704,Mobile Data,4G,1月3日,Yes,Mobile,Low
705,Mobile Data,3G,1月3日,No,Mobile,Low
706,Wifi,4G,1月3日,Yes,Computer,Moderate
707,Wifi,4G,3月6日,No,Mobile,Moderate
708,Mobile Data,4G,1月3日,No,Mobile,Moderate
709,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
710,Mobile Data,4G,1月3日,No,Mobile,Moderate
711,Wifi,4G,1月3日,No,Mobile,Low
712,Mobile Data,4G,0,No,Mobile,Low
713,Mobile Data,4G,1月3日,Yes,Mobile,Low
714,Mobile Data,4G,1月3日,No,Mobile,Moderate
715,Wifi,4G,0,No,Mobile,Low
716,Mobile Data,3G,0,No,Mobile,Low
717,Wifi,3G,1月3日,No,Mobile,High
718,Mobile Data,4G,0,No,Mobile,Low
719,Mobile Data,3G,1月3日,No,Mobile,Moderate
720,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
721,Mobile Data,4G,1月3日,No,Mobile,Moderate
722,Mobile Data,4G,1月3日,No,Mobile,Moderate
723,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
724,Mobile Data,3G,1月3日,No,Mobile,Low
725,Wifi,4G,1月3日,No,Mobile,Low
726,Wifi,4G,1月3日,No,Mobile,Moderate
727,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
728,Mobile Data,3G,1月3日,No,Mobile,Moderate
729,Mobile Data,3G,1月3日,No,Mobile,Low
730,Mobile Data,4G,1月3日,No,Mobile,Moderate
731,Wifi,3G,3月6日,Yes,Mobile,Moderate
732,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
733,Mobile Data,4G,1月3日,No,Mobile,Moderate
734,Wifi,4G,1月3日,Yes,Computer,High
735,Mobile Data,4G,1月3日,No,Mobile,Moderate
736,Wifi,4G,1月3日,No,Mobile,High
737,Mobile Data,4G,0,No,Mobile,Low
738,Wifi,4G,1月3日,No,Computer,Moderate
739,Mobile Data,4G,1月3日,No,Mobile,Moderate
740,Mobile Data,4G,0,No,Mobile,Low
741,Wifi,4G,1月3日,Yes,Tab,Moderate
742,Mobile Data,4G,1月3日,No,Mobile,Moderate
743,Wifi,4G,1月3日,No,Mobile,Low
744,Mobile Data,3G,1月3日,No,Mobile,Low
745,Mobile Data,3G,1月3日,No,Mobile,Moderate
746,Wifi,4G,0,No,Mobile,Low
747,Wifi,3G,1月3日,Yes,Mobile,Moderate
748,Wifi,4G,1月3日,No,Mobile,Moderate
749,Mobile Data,4G,1月3日,Yes,Mobile,High
750,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
751,Mobile Data,4G,1月3日,No,Mobile,Moderate
752,Mobile Data,4G,0,No,Mobile,Moderate
753,Wifi,4G,1月3日,No,Mobile,Moderate
754,Mobile Data,3G,1月3日,No,Mobile,Low
755,Wifi,2G,3月6日,No,Mobile,Moderate
756,Wifi,4G,0,No,Mobile,Low
757,Wifi,3G,1月3日,Yes,Computer,Moderate
758,Wifi,3G,1月3日,No,Mobile,Low
759,Mobile Data,4G,1月3日,No,Mobile,Moderate
760,Mobile Data,4G,0,No,Mobile,Low
761,Wifi,4G,1月3日,No,Mobile,Low
762,Wifi,4G,1月3日,No,Mobile,Low
763,Wifi,4G,3月6日,No,Computer,Moderate
764,Mobile Data,3G,1月3日,No,Mobile,Low
765,Wifi,4G,1月3日,No,Computer,Moderate
766,Mobile Data,3G,1月3日,No,Mobile,Moderate
767,Wifi,4G,0,No,Mobile,Low
768,Mobile Data,4G,1月3日,No,Mobile,Moderate
769,Wifi,4G,0,No,Mobile,Moderate
770,Wifi,4G,3月6日,No,Mobile,High
771,Mobile Data,4G,1月3日,No,Mobile,Moderate
772,Wifi,4G,3月6日,No,Computer,Moderate
773,Wifi,2G,3月6日,Yes,Tab,Low
774,Wifi,4G,1月3日,No,Mobile,Low
775,Wifi,3G,3月6日,No,Mobile,Low
776,Wifi,4G,3月6日,No,Mobile,Moderate
777,Mobile Data,3G,1月3日,No,Mobile,Moderate
778,Wifi,4G,0,No,Mobile,Low
779,Mobile Data,3G,1月3日,No,Mobile,Low
780,Wifi,4G,1月3日,No,Mobile,Moderate
781,Wifi,4G,3月6日,Yes,Computer,Moderate
782,Mobile Data,3G,1月3日,No,Mobile,Moderate
783,Mobile Data,4G,1月3日,No,Mobile,Low
784,Wifi,4G,1月3日,No,Computer,Moderate
785,Mobile Data,4G,1月3日,Yes,Mobile,Low
786,Wifi,4G,1月3日,No,Computer,Moderate
787,Wifi,4G,1月3日,No,Mobile,Low
788,Mobile Data,3G,1月3日,No,Mobile,Moderate
789,Wifi,4G,3月6日,No,Mobile,High
790,Wifi,4G,3月6日,No,Computer,Moderate
791,Mobile Data,4G,1月3日,No,Mobile,Low
792,Mobile Data,4G,1月3日,No,Mobile,Moderate
793,Mobile Data,3G,0,No,Mobile,Low
794,Mobile Data,3G,0,No,Mobile,Low
795,Mobile Data,4G,1月3日,No,Mobile,Low
796,Mobile Data,3G,1月3日,No,Mobile,Moderate
797,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
798,Mobile Data,4G,3月6日,No,Mobile,Moderate
799,Mobile Data,4G,1月3日,No,Mobile,Moderate
800,Wifi,4G,3月6日,No,Computer,Moderate
801,Wifi,4G,1月3日,No,Computer,Moderate
802,Wifi,4G,1月3日,No,Mobile,Moderate
803,Wifi,4G,1月3日,No,Computer,Low
804,Mobile Data,4G,1月3日,No,Mobile,Moderate
805,Mobile Data,3G,1月3日,Yes,Mobile,Low
806,Mobile Data,3G,0,No,Mobile,Low
807,Wifi,4G,1月3日,No,Mobile,Moderate
808,Mobile Data,4G,1月3日,No,Mobile,Moderate
809,Wifi,4G,3月6日,No,Tab,Moderate
810,Wifi,4G,1月3日,No,Computer,Moderate
811,Wifi,4G,1月3日,No,Computer,High
812,Wifi,4G,3月6日,No,Mobile,Moderate
813,Wifi,4G,3月6日,No,Mobile,Moderate
814,Mobile Data,3G,1月3日,No,Mobile,Low
815,Mobile Data,3G,1月3日,No,Mobile,High
816,Mobile Data,3G,1月3日,No,Mobile,Low
817,Mobile Data,4G,1月3日,No,Mobile,Moderate
818,Mobile Data,3G,1月3日,No,Mobile,Low
819,Mobile Data,4G,0,No,Mobile,Low
820,Mobile Data,3G,0,No,Mobile,Low
821,Mobile Data,4G,1月3日,No,Mobile,Moderate
822,Mobile Data,3G,1月3日,No,Mobile,Moderate
823,Mobile Data,4G,1月3日,No,Mobile,High
824,Wifi,4G,3月6日,No,Tab,Moderate
825,Mobile Data,3G,1月3日,No,Mobile,Low
826,Mobile Data,3G,1月3日,No,Mobile,Moderate
827,Wifi,4G,1月3日,No,Computer,Moderate
828,Wifi,4G,1月3日,Yes,Computer,Moderate
829,Wifi,4G,3月6日,Yes,Computer,Moderate
830,Mobile Data,4G,1月3日,No,Mobile,Moderate
831,Mobile Data,4G,1月3日,No,Mobile,Low
832,Mobile Data,3G,1月3日,No,Mobile,Low
833,Mobile Data,3G,1月3日,No,Mobile,Moderate
834,Mobile Data,4G,1月3日,No,Mobile,Moderate
835,Wifi,3G,3月6日,Yes,Computer,Low
836,Mobile Data,3G,1月3日,No,Mobile,Moderate
837,Mobile Data,4G,1月3日,No,Mobile,Moderate
838,Wifi,4G,3月6日,No,Mobile,Moderate
839,Mobile Data,4G,1月3日,No,Mobile,Moderate
840,Mobile Data,3G,1月3日,No,Mobile,Low
841,Wifi,4G,1月3日,No,Mobile,Moderate
842,Wifi,4G,3月6日,No,Mobile,High
843,Mobile Data,3G,1月3日,No,Mobile,Low
844,Wifi,3G,1月3日,Yes,Computer,Moderate
845,Mobile Data,4G,1月3日,No,Mobile,High
846,Mobile Data,4G,1月3日,No,Mobile,Moderate
847,Wifi,4G,3月6日,No,Tab,Moderate
848,Wifi,4G,1月3日,No,Mobile,Low
849,Mobile Data,3G,1月3日,No,Mobile,High
850,Mobile Data,3G,1月3日,No,Mobile,Moderate
851,Mobile Data,3G,1月3日,No,Mobile,Moderate
852,Mobile Data,3G,1月3日,No,Mobile,Low
853,Mobile Data,3G,1月3日,No,Mobile,Moderate
854,Mobile Data,3G,1月3日,No,Mobile,Low
855,Mobile Data,4G,1月3日,No,Mobile,Low
856,Mobile Data,4G,0,No,Mobile,Low
857,Wifi,3G,1月3日,No,Mobile,Low
858,Mobile Data,3G,1月3日,No,Mobile,Moderate
859,Wifi,4G,1月3日,No,Mobile,Moderate
860,Wifi,4G,1月3日,No,Mobile,Low
861,Mobile Data,4G,0,No,Mobile,Low
862,Wifi,4G,0,No,Mobile,Moderate
863,Mobile Data,4G,1月3日,No,Mobile,Low
864,Mobile Data,3G,0,No,Mobile,Low
865,Wifi,4G,0,No,Mobile,Low
866,Mobile Data,4G,1月3日,No,Mobile,Moderate
867,Mobile Data,3G,1月3日,No,Mobile,Low
868,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
869,Mobile Data,3G,1月3日,No,Mobile,Moderate
870,Mobile Data,3G,1月3日,No,Mobile,Moderate
871,Wifi,4G,3月6日,No,Mobile,Moderate
872,Wifi,4G,3月6日,No,Tab,Moderate
873,Wifi,4G,1月3日,No,Mobile,Moderate
874,Mobile Data,3G,0,No,Mobile,Low
875,Wifi,4G,1月3日,No,Mobile,Moderate
876,Wifi,4G,1月3日,Yes,Mobile,Moderate
877,Mobile Data,3G,1月3日,No,Mobile,Moderate
878,Wifi,4G,1月3日,No,Mobile,Low
879,Mobile Data,3G,1月3日,No,Mobile,Low
880,Mobile Data,4G,1月3日,No,Mobile,Moderate
881,Wifi,4G,3月6日,No,Tab,Moderate
882,Wifi,4G,1月3日,No,Mobile,Low
883,Mobile Data,3G,1月3日,No,Mobile,Low
884,Mobile Data,4G,3月6日,No,Mobile,Moderate
885,Wifi,4G,1月3日,No,Computer,Moderate
886,Mobile Data,4G,1月3日,No,Mobile,Moderate
887,Mobile Data,4G,1月3日,No,Mobile,Moderate
888,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
889,Wifi,4G,1月3日,Yes,Computer,Moderate
890,Mobile Data,3G,1月3日,No,Mobile,Moderate
891,Wifi,3G,1月3日,Yes,Computer,Moderate
892,Wifi,4G,1月3日,No,Computer,Moderate
893,Wifi,3G,1月3日,No,Mobile,Moderate
894,Mobile Data,3G,1月3日,No,Mobile,Moderate
895,Mobile Data,3G,1月3日,No,Mobile,Low
896,Wifi,4G,1月3日,Yes,Computer,Moderate
897,Wifi,4G,1月3日,No,Mobile,Low
898,Mobile Data,4G,1月3日,No,Mobile,Moderate
899,Wifi,4G,3月6日,No,Computer,Low
900,Wifi,4G,1月3日,No,Computer,Moderate
901,Wifi,4G,1月3日,No,Computer,Moderate
902,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
903,Wifi,4G,1月3日,No,Mobile,Low
904,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
905,Mobile Data,4G,1月3日,No,Mobile,High
906,Wifi,4G,3月6日,No,Mobile,High
907,Wifi,3G,1月3日,No,Mobile,Low
908,Mobile Data,4G,1月3日,No,Mobile,Moderate
909,Wifi,4G,1月3日,No,Mobile,Moderate
910,Wifi,4G,0,No,Mobile,Low
911,Mobile Data,4G,1月3日,No,Mobile,Moderate
912,Wifi,4G,3月6日,Yes,Computer,Low
913,Mobile Data,4G,1月3日,No,Mobile,Moderate
914,Mobile Data,4G,1月3日,No,Mobile,Moderate
915,Mobile Data,3G,1月3日,No,Mobile,Low
916,Mobile Data,4G,1月3日,No,Mobile,Moderate
917,Mobile Data,4G,1月3日,No,Mobile,Moderate
918,Mobile Data,4G,1月3日,No,Mobile,Moderate
919,Wifi,4G,1月3日,Yes,Computer,High
920,Mobile Data,4G,1月3日,No,Mobile,Moderate
921,Mobile Data,3G,1月3日,No,Mobile,Moderate
922,Mobile Data,3G,1月3日,No,Mobile,Moderate
923,Wifi,3G,1月3日,No,Computer,Moderate
924,Mobile Data,4G,0,No,Mobile,Low
925,Wifi,3G,1月3日,Yes,Mobile,High
926,Mobile Data,4G,1月3日,No,Mobile,Moderate
927,Mobile Data,3G,1月3日,No,Mobile,Low
928,Mobile Data,4G,1月3日,No,Mobile,Moderate
929,Mobile Data,3G,1月3日,No,Mobile,Low
930,Wifi,4G,1月3日,No,Mobile,Moderate
931,Mobile Data,3G,1月3日,No,Mobile,Moderate
932,Mobile Data,3G,1月3日,No,Mobile,Moderate
933,Mobile Data,3G,1月3日,No,Mobile,Low
934,Wifi,3G,3月6日,No,Computer,Moderate
935,Mobile Data,2G,0,No,Mobile,Low
936,Wifi,4G,1月3日,Yes,Tab,Moderate
937,Wifi,4G,3月6日,No,Tab,High
938,Mobile Data,3G,1月3日,No,Mobile,Low
939,Mobile Data,3G,1月3日,No,Mobile,Moderate
940,Wifi,4G,1月3日,No,Mobile,High
941,Mobile Data,3G,1月3日,No,Mobile,Low
942,Mobile Data,3G,1月3日,No,Mobile,Low
943,Wifi,4G,1月3日,No,Mobile,Low
944,Mobile Data,4G,1月3日,No,Mobile,High
945,Wifi,4G,3月6日,Yes,Computer,Moderate
946,Wifi,4G,1月3日,No,Mobile,Moderate
947,Wifi,4G,1月3日,No,Mobile,Moderate
948,Mobile Data,4G,1月3日,No,Mobile,Moderate
949,Wifi,4G,1月3日,No,Mobile,Low
950,Wifi,4G,0,No,Mobile,Moderate
951,Wifi,3G,3月6日,No,Mobile,Low
952,Wifi,4G,3月6日,No,Computer,Low
953,Wifi,3G,1月3日,Yes,Mobile,Moderate
954,Wifi,4G,1月3日,No,Mobile,Moderate
955,Wifi,3G,1月3日,No,Mobile,High
956,Mobile Data,3G,0,No,Mobile,Low
957,Mobile Data,4G,1月3日,No,Mobile,High
958,Mobile Data,4G,1月3日,No,Mobile,Moderate
959,Mobile Data,3G,1月3日,No,Mobile,Low
960,Wifi,4G,3月6日,No,Tab,Moderate
961,Wifi,4G,1月3日,Yes,Mobile,Low
962,Wifi,4G,3月6日,No,Tab,Moderate
963,Wifi,4G,1月3日,Yes,Computer,High
964,Wifi,4G,1月3日,No,Mobile,Moderate
965,Wifi,4G,3月6日,No,Mobile,Moderate
966,Wifi,4G,3月6日,No,Mobile,Moderate
967,Mobile Data,4G,0,No,Mobile,Low
968,Wifi,4G,1月3日,No,Mobile,Low
969,Mobile Data,4G,1月3日,No,Mobile,Moderate
970,Mobile Data,4G,1月3日,No,Mobile,Moderate
971,Wifi,4G,1月3日,No,Mobile,Moderate
972,Mobile Data,3G,0,No,Mobile,Low
973,Wifi,4G,0,No,Mobile,Low
974,Mobile Data,4G,1月3日,No,Mobile,Moderate
975,Mobile Data,3G,1月3日,Yes,Mobile,Low
976,Mobile Data,4G,1月3日,No,Mobile,Moderate
977,Wifi,4G,1月3日,No,Mobile,Moderate
978,Mobile Data,4G,0,No,Mobile,Low
979,Mobile Data,2G,0,No,Mobile,Low
980,Mobile Data,4G,1月3日,No,Mobile,Moderate
981,Mobile Data,4G,1月3日,No,Mobile,Moderate
982,Mobile Data,4G,1月3日,No,Mobile,Moderate
983,Mobile Data,3G,1月3日,No,Mobile,Low
984,Wifi,3G,1月3日,Yes,Mobile,Moderate
985,Mobile Data,3G,0,No,Mobile,Low
986,Mobile Data,3G,1月3日,No,Mobile,Moderate
987,Mobile Data,4G,1月3日,No,Mobile,Moderate
988,Mobile Data,4G,1月3日,No,Mobile,High
989,Mobile Data,4G,0,No,Mobile,Low
990,Mobile Data,4G,0,No,Mobile,Low
991,Wifi,4G,3月6日,No,Mobile,Low
992,Wifi,4G,1月3日,No,Computer,Low
993,Mobile Data,4G,0,No,Mobile,Low
994,Wifi,4G,3月6日,Yes,Computer,Low
995,Mobile Data,3G,1月3日,No,Mobile,Low
996,Mobile Data,4G,1月3日,No,Mobile,High
997,Mobile Data,4G,0,No,Mobile,Low
998,Mobile Data,4G,1月3日,No,Mobile,Moderate
999,Wifi,4G,1月3日,No,Mobile,Low
1000,Mobile Data,4G,1月3日,No,Mobile,Moderate
